id,name,type_info,geometry
472438968,Tischlerzeile,,POINT (13.4471028 52.4272238)
472444755,Kölner Damm,,POINT (13.4561297 52.422968)
472461486,Baldersheimer Weg,,POINT (13.4193152 52.4121143)
472464383,Am Rötepfuhl,,POINT (13.4205861 52.4153651)
472466214,Grünsteinweg,,POINT (13.4093834 52.4263241)
472470016,Sangerhauser Weg,,POINT (13.4053739 52.4278655)
472470022,Rixdorfer Straße/Britzer Straße,bus,POINT (13.3970822 52.4400543)
472472551,Goldenes Horn Süd,,POINT (13.404635 52.43944)
472472555,Im Rosengrund,,POINT (13.4214848 52.441013)
472472558,Neumarkplan,,POINT (13.429875 52.44279)
472475863,Fulhamer Allee,,POINT (13.4366441 52.4493122)
472475864,Wussowstraße,,POINT (13.4372543 52.4562074)
472496596,Andreasstraße/Lange Straße,bus,POINT (13.4310766 52.5123331)
472501939,Wönnichstraße,bus,POINT (13.4957394 52.5002565)
472514891,Werrastraße,bus,POINT (13.450581 52.4798745)
472514900,Niemetzstraße,bus,POINT (13.4516042 52.4710422)
472584473,Kirchhainer Damm/Horstwalder Straße,,POINT (13.4132296 52.3825128)
472666712,Buddestraße,bus,POINT (13.2868476 52.5909632)
472666716,Veitstraße,bus,POINT (13.2872174 52.5857514)
472670588,Namslaustraße,bus,POINT (13.2926664 52.5789294)
472695714,Dianastraße,bus,POINT (13.3102831 52.6038007)
472695734,Zabel-Krüger-Damm/Alt-Lübars,bus,POINT (13.3528879 52.6174071)
472708634,Jörsstraße,bus,POINT (13.2290919 52.5734793)
472708833,Gerlindeweg,bus,POINT (13.2288759 52.5758954)
472708866,Schwarzspechtweg,bus,POINT (13.2271216 52.5815506)
472764833,Schulzendorfer Straße/Ruppiner Chaussee,bus,POINT (13.2443074 52.6148927)
472828557,Rosenthal Kirche,bus,POINT (13.3779303 52.5999487)
473052613,Hubertusbrücke,,POINT (13.1435688 52.4050394)
473066549,U Paracelsus-Bad/Aroser Allee,bus,POINT (13.3514161 52.57374)
473066565,Holländerstraße/Aroser Allee,bus,POINT (13.3537952 52.5617793)
473066621,Grindelwaldweg,bus,POINT (13.3530149 52.5640908)
473096873,Techowpromenade,bus,POINT (13.3341634 52.5934716)
473096875,Alt-Wittenau/Roedernallee,bus,POINT (13.3392078 52.5889992)
473096900,Schmitzweg,bus,POINT (13.34133 52.5862398)
473096922,Weinbrennerweg,bus,POINT (13.3441947 52.5825076)
473096925,Roedernallee/Flottenstraße,bus,POINT (13.3469298 52.5789698)
473696290,Sophie-Charlotte-Straße,bus,POINT (13.260345 52.4446503)
474798872,U Karl-Marx-Straße,bus,POINT (13.4392487 52.4761772)
474954616,Spreewaldplatz,bus,POINT (13.4310046 52.4978375)
475305667,Hermannstraße/Mariendorfer Weg,bus,POINT (13.4325952 52.4650104)
476235973,Herkomerstraße,bus,POINT (13.463733 52.4875713)
476243465,Rethelstraße,bus,POINT (13.4665561 52.4856694)
476243467,Klingerstraße,bus,POINT (13.4695867 52.4836277)
476257352,Steinbockstraße,bus,POINT (13.4678845 52.4720533)
477600750,U Hermannplatz/Sonnenallee,bus,POINT (13.4261327 52.4874766)
479063816,Machnower Straße/Berlepschstraße,bus,POINT (13.2568397 52.4294364)
479063855,Schrockstraße,bus,POINT (13.2546905 52.4273942)
479064137,Gutzmannstraße,,POINT (13.2500448 52.4210386)
479082063,Sachtlebenstraße,,POINT (13.2516935 52.4092384)
479082176,Windsteiner Weg,,POINT (13.251611 52.411926)
479082221,Nieritzweg,,POINT (13.2512706 52.4150903)
479102685,Winfriedstraße,bus,POINT (13.2696974 52.4377565)
479102691,Kleinaustraße,bus,POINT (13.2641269 52.4353681)
479107796,Von-Laue-Straße,bus,POINT (13.289079 52.4440697)
