id,name,geometry
430545834,Risa Chicken,POINT (13.3852325 52.466214)
431245850,Saigon Shack,POINT (13.455331900000001 52.51802249999999)
431655696,LPG,POINT (13.4622545 52.50982709999999)
432486561,Anni Kitchen,POINT (13.326240000000002 52.52195)
432779736,Shell,POINT (13.4663679 52.59673860000001)
433914645,Dalinji,POINT (13.2965362 52.5295556)
434492758,Supermarkt Rose,POINT (13.2033126 52.537456799999994)
436624045,Dewi’s FAST FOOD KEBAPHAUS,POINT (13.5377539 52.4315358)
437190622,Netto Marken-Discount,POINT (13.409903 52.5189624)
437195224,Hong Kong Express,POINT (13.4108241 52.5194319)
437611378,Nordsee,POINT (13.404913600000002 52.52040749999999)
438145041,Postshop Lichtenberg,POINT (13.4911077 52.5026134)
438150623,Mini Markt,POINT (13.4914514 52.50319700000001)
438385035,Netto,POINT (13.3084451 52.478786400000004)
439506670,Kraut & Rüben,POINT (13.4231403 52.500616300000004)
439771184,Brandenburger Landwaren,POINT (13.4136849 52.502946599999994)
440805106,PENNY,POINT (13.331712400000002 52.52679779999998)
440971671,Mini Market Alper,POINT (13.3564031 52.55109319999999)
441283250,Pho & More,POINT (13.2022098 52.53771049999999)
441303993,,POINT (13.2025744 52.5385236)
441513730,Hakim Gida,POINT (13.4346275 52.4609503)
441514942,Lidl,POINT (13.4261428 52.4769707)
441514946,Bol Köfte,POINT (13.4255045 52.4786601)
441514948,Burger Pause,POINT (13.4258225 52.47921329999999)
441514949,Sam Asia Imbiss,POINT (13.425808400000001 52.479256799999995)
441531298,Aldi,POINT (13.4274479 52.4741639)
441734595,Lidl,POINT (13.4334593 52.4816182)
441734599,My Döner,POINT (13.4356816 52.48082479999999)
441736480,Baraka,POINT (13.436923800000002 52.479456599999985)
442388893,Bistro Rose 2,POINT (13.3841751 52.459042200000006)
442390306,Taste Hellas,POINT (13.3836393 52.45652690000001)
442390877,Libanon Snack,POINT (13.3835293 52.4561837)
442390882,Muri's Hafenimbiss,POINT (13.384467 52.45467649999999)
442391301,Imbiss Tang,POINT (13.3848278 52.4525517)
442392122,Netto Marken-Discount,POINT (13.3852947 52.45107749999999)
442392125,Mangal,POINT (13.3849052 52.44853429999999)
442393070,Basileus Pizza & Birgül Döner,POINT (13.385258800000003 52.447091999999984)
